seller_city,seller_state,total_sales
orlandia,SP,6
chapeco,SC,6
montes claros,MG,6
auriflama/sp,SP,6
barra velha,SC,5
brasilia df,DF,5
volta redonda,RJ,5
sao paulo / sao paulo,SP,5
alambari,SP,5
paraiso do sul,RS,5
rio de janeiro \rio de janeiro,RJ,5
rio de janeiro / rio de janeiro,RJ,5
extrema,MG,5
jaragua,GO,5
bandeirantes,PR,5
clementina,SP,5
neopolis,SE,5
blumenau,SP,5
bahia,BA,5
aracaju,SE,5
ararangua,SC,5
santa rosa,RS,4
sao jose do rio pret,SP,4
santa maria da serra,SP,4
santa maria,RS,4
rio de janeiro,SP,4
jambeiro,SP,4
osvaldo cruz,SP,4
colatina,ES,4
caieiras,SP,4
ipira,SP,4
portoferreira,SP,4
itabira,MG,4
cataguases,MG,4
guiricema,MG,4
armacao dos buzios,RJ,4
monte alegre do sul,SP,4
mandaguari,PR,4
araxa,MG,4
itirapina,SP,4
picarras,SC,4
pinhais/pr,PR,4
ao bernardo do campo,SP,4
cordeiropolis,SP,4
brotas,SP,4
joao monlevade,MG,4
joao pinheiro,MG,4
irati,PR,4
itau de minas,MG,3
itaporanga,SP,3
itapetininga,SP,3
cachoeira do sul,RS,3
laranjeiras do sul,SP,3
campo magro,PR,3
igrejinha,RS,3
bom jesus dos perdoes,SP,3
caratinga,MG,3
caxias do sul,SP,3
guarapuava,PR,3
taio,SC,3
fernando prestes,SP,3
feira de santana,BA,3
cravinhos,SP,3
lages - sc,SC,3
embu das artes,SP,3
dores de campos,MG,3
pedrinhas paulista,SP,3
sertanopolis,SP,3
rio do oeste,SC,3
palhoca,SP,3
ourinhos,SP,3
balenario camboriu,SC,3
vitoria de santo antao,PE,3
santa cruz do sul,RS,3
oliveira,MG,3
olimpia,SP,3
pedro leopoldo,MG,3
torres,RS,3
miguelopolis,SP,3
bofete,SP,3
treze tilias,SC,3
triunfo,RS,3
manaus,AM,3
pinhalzinho,SP,3
porto alegre,SP,3
pato bragado,PR,3
sao miguel d'oeste,SC,2
vera cruz,SP,2
soledade,RS,2
almirante tamandare,PR,2
campina grande,PB,2
chapeco,SP,2
camboriu,SC,2
barrinha,SP,2
belford roxo,RJ,2
sao vicente,SP,2
cacador,SC,2
bom jardim,RJ,2
são paulo,SP,2
prados,MG,2
ipe,RS,2
erechim,RS,2
santo antonio da patrulha,RS,2
ribeirao pretp,SP,2
rio bonito,SP,2
pinhalzinho,SC,2
rio de janeiro,RN,2
parana,PR,2
"rio de janeiro, rio de janeiro, brasil",RJ,2
robeirao preto,SP,2
nova trento,SC,2
maua/sao paulo,SP,2
santa cecilia,SC,2
lambari,MG,2
jaciara,MT,2
ferraz de  vasconcelos,SP,2
ivoti,RS,2
itapema,SC,2
sao  jose dos pinhais,PR,2
floranopolis,SC,2
formosa,GO,2
gaspar,SC,2
governador valadares,MG,2
varzea alegre,CE,2
sao joao da boa vista,SP,2
sao francisco do sul,SC,2
xaxim,SC,2
horizontina,RS,2
sao bernardo do capo,SP,2
vila velha,SP,1
tocantins,SP,1
tres coroas,RS,1
tambau,SP,1
uruguaiana,RS,1
uniao da vitoria,PR,1
viana,ES,1
04482255,RJ,1
serra redonda,PB,1
janauba,MG,1
irece,BA,1
ipua,SP,1
ipira,BA,1
imigrante,RS,1
ibirite,MG,1
guaratingueta,SP,1
guaira,SP,1
guaira,PR,1
guaimbe,SP,1
goioere,SP,1
eusebio,CE,1
divisa nova,MG,1
cordilheira alta,SC,1
condor,RS,1
cianorte,PR,1
castro pires,MG,1
cascavael,PR,1
carmo da mata,MG,1
campos novos,SC,1
campanha,MG,1
belo horizont,MG,1
barro alto,BA,1
barbacena/ minas gerais,MG,1
barbacena,MG,1
bage,RS,1
avare,SP,1
araquari,SC,1
angra dos reis rj,RJ,1
aguas claras df,SP,1
itapui,SP,1
jarinu,SP,1
sbc,SP,1
juzeiro do norte,CE,1
sapiranga,RS,1
sao sebastiao da grama/sp,SP,1
sao pauo,SP,1
sao paulo sp,SP,1
sao miguel do oeste,SC,1
santa catarina,SC,1
ronda alta,RS,1
rio das pedras,SP,1
rio branco,AC,1
resende,RJ,1
presidente getulio,SC,1
pouso alegre,MG,1
pitangueiras,SP,1
pirassununga,SP,1
passos,MG,1
paracambi,RJ,1
palotina,PR,1
pacatuba,CE,1
orleans,SC,1
"novo hamburgo, rio grande do sul, brasil",RS,1
nhandeara,SP,1
mogi das cruzes / sp,SP,1
minas gerais,MG,1
messias targino,RN,1
medianeira,PR,1
marialva,PR,1
marapoama,SP,1
macatuba,SP,1
abadia de goias,GO,1
londrina,SP,1
